ID,X_happiness,X_gender,T_raw,Y_raw,T,Y,uplift_score,segment
171175301,5,1,3,3,0,1,-0.32328536928091867,설득가능군 (Persuadables)
171175303,8,1,1,1,0,1,-0.464697200276516,안심군 (Sure Things)
171175304,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
171175305,6,1,-2,-2,0,1,-0.49238047852082173,안심군 (Sure Things)
171175401,8,2,1,1,0,1,-0.6400773413346114,안심군 (Sure Things)
171175402,6,2,2,2,0,1,-0.6388529916885708,안심군 (Sure Things)
171175403,4,2,2,2,0,1,-0.6495640458113877,안심군 (Sure Things)
171175404,5,2,3,4,0,0,-0.6966991843583654,기타관리군
171175405,8,2,3,3,0,1,-0.6400773413346114,안심군 (Sure Things)
171175501,7,2,2,2,0,1,-0.6628561166735585,안심군 (Sure Things)
171175502,10,2,2,2,0,1,-0.4373689938914715,설득가능군 (Persuadables)
171175504,6,2,2,1,0,1,-0.6388529916885708,안심군 (Sure Things)
171175505,8,2,4,2,1,1,-0.6400773413346114,기타관리군
171176101,6,2,3,3,0,1,-0.6388529916885708,안심군 (Sure Things)
171176102,9,2,2,3,0,1,-0.5534077678822292,안심군 (Sure Things)
171176103,8,1,3,2,0,1,-0.464697200276516,안심군 (Sure Things)
171176104,6,2,2,2,0,1,-0.6388529916885708,안심군 (Sure Things)
171176105,7,2,3,3,0,1,-0.6628561166735585,안심군 (Sure Things)
171176106,4,1,2,2,0,1,-0.43171188020525564,설득가능군 (Persuadables)
171176107,10,2,2,2,0,1,-0.4373689938914715,설득가능군 (Persuadables)
171176201,9,2,2,2,0,1,-0.5534077678822292,안심군 (Sure Things)
171176202,10,2,2,2,0,1,-0.4373689938914715,설득가능군 (Persuadables)
171176203,7,1,2,2,0,1,-0.6110632678608602,안심군 (Sure Things)
171176204,9,2,3,3,0,1,-0.5534077678822292,안심군 (Sure Things)
171176206,7,1,3,3,0,1,-0.6110632678608602,안심군 (Sure Things)
171176301,9,2,2,1,0,1,-0.5534077678822292,안심군 (Sure Things)
171176302,6,2,2,3,0,1,-0.6388529916885708,안심군 (Sure Things)
171176303,10,1,4,2,1,1,-0.8427932361731887,기타관리군
171176304,11,1,2,1,0,1,-0.508800810868942,안심군 (Sure Things)
171176305,10,1,2,4,0,0,-0.8427932361731887,기타관리군
171176306,11,1,4,3,1,1,-0.508800810868942,기타관리군
171176402,9,1,1,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
171176403,7,1,2,2,0,1,-0.6110632678608602,안심군 (Sure Things)
171176404,9,2,2,2,0,1,-0.5534077678822292,안심군 (Sure Things)
171176405,11,1,3,3,0,1,-0.508800810868942,안심군 (Sure Things)
171176406,9,2,1,1,0,1,-0.5534077678822292,안심군 (Sure Things)
171177101,8,1,3,3,0,1,-0.464697200276516,안심군 (Sure Things)
171177102,2,1,1,1,0,1,-0.757063720407254,안심군 (Sure Things)
171177104,7,1,2,2,0,1,-0.6110632678608602,안심군 (Sure Things)
171177105,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
171177201,5,1,2,1,0,1,-0.32328536928091867,설득가능군 (Persuadables)
171177202,5,1,3,3,0,1,-0.32328536928091867,설득가능군 (Persuadables)
171177203,6,1,2,2,0,1,-0.49238047852082173,안심군 (Sure Things)
171177204,9,1,3,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
171177205,9,1,3,3,0,1,-0.4539504033874678,설득가능군 (Persuadables)
171177301,6,1,2,2,0,1,-0.49238047852082173,안심군 (Sure Things)
171177302,7,1,3,3,0,1,-0.6110632678608602,안심군 (Sure Things)
171177303,8,1,1,2,0,1,-0.464697200276516,안심군 (Sure Things)
171177304,7,1,3,3,0,1,-0.6110632678608602,안심군 (Sure Things)
171177401,9,1,2,2,0,1,-0.4539504033874678,설득가능군 (Persuadables)
171177402,8,1,4,2,1,1,-0.464697200276516,기타관리군
171177404,11,1,2,2,0,1,-0.508800810868942,안심군 (Sure Things)
171177405,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
171177501,7,1,1,1,0,1,-0.6110632678608602,안심군 (Sure Things)
171177502,1,1,2,2,0,1,-0.7524209049120512,안심군 (Sure Things)
171177503,8,1,2,2,0,1,-0.464697200276516,안심군 (Sure Things)
171177504,10,1,2,1,0,1,-0.8427932361731887,안심군 (Sure Things)
171177505,7,1,1,1,0,1,-0.6110632678608602,안심군 (Sure Things)
171178101,9,2,3,1,0,1,-0.5534077678822292,안심군 (Sure Things)
171178103,8,2,2,2,0,1,-0.6400773413346114,안심군 (Sure Things)
171178104,11,2,3,3,0,1,-0.5089268587987681,안심군 (Sure Things)
171178201,5,2,1,1,0,1,-0.6966991843583654,안심군 (Sure Things)
171178202,5,2,3,3,0,1,-0.6966991843583654,안심군 (Sure Things)
171178203,5,2,1,1,0,1,-0.6966991843583654,안심군 (Sure Things)
171178204,9,2,2,1,0,1,-0.5534077678822292,안심군 (Sure Things)
171178205,9,2,2,2,0,1,-0.5534077678822292,안심군 (Sure Things)
171178301,5,2,2,1,0,1,-0.6966991843583654,안심군 (Sure Things)
171178303,7,2,1,1,0,1,-0.6628561166735585,안심군 (Sure Things)
171178304,9,2,1,1,0,1,-0.5534077678822292,안심군 (Sure Things)
171178305,9,2,1,1,0,1,-0.5534077678822292,안심군 (Sure Things)
171178401,6,2,2,2,0,1,-0.6388529916885708,안심군 (Sure Things)
171178402,6,2,2,2,0,1,-0.6388529916885708,안심군 (Sure Things)
171178403,10,2,1,1,0,1,-0.4373689938914715,설득가능군 (Persuadables)
171178404,8,2,2,2,0,1,-0.6400773413346114,안심군 (Sure Things)
171178501,5,2,3,2,0,1,-0.6966991843583654,안심군 (Sure Things)
171178502,9,2,1,4,0,0,-0.5534077678822292,기타관리군
171178504,6,2,1,1,0,1,-0.6388529916885708,안심군 (Sure Things)
171178505,7,2,2,2,0,1,-0.6628561166735585,안심군 (Sure Things)
173179101,8,2,2,1,0,1,-0.6400773413346114,안심군 (Sure Things)
173179102,8,1,3,2,0,1,-0.464697200276516,안심군 (Sure Things)
173179103,9,2,1,1,0,1,-0.5534077678822292,안심군 (Sure Things)
