ID,X_happiness,X_gender,T_raw,Y_raw,T,Y
111017304,7,1,4,4,1,0
111017305,9,1,2,2,0,1
111017401,8,1,2,2,0,1
111017402,9,1,3,1,0,1
111017403,7,1,2,2,0,1
111017404,5,1,3,3,0,1
111017405,8,1,1,1,0,1
111017501,4,1,3,3,0,1
111017502,6,1,2,1,0,1
111017503,8,1,4,4,1,0
111017504,9,1,2,2,0,1
111017505,8,1,2,1,0,1
111018101,8,1,2,2,0,1
111018102,9,1,1,1,0,1
111018103,8,1,2,2,0,1
111018105,9,1,2,2,0,1
111018201,7,1,2,2,0,1
111018202,10,1,2,2,0,1
111018203,8,1,2,2,0,1
111018204,9,1,2,2,0,1
111018205,7,1,4,4,1,0
111018301,9,1,3,3,0,1
111018303,10,1,2,4,0,0
111018304,5,1,2,3,0,1
111018305,9,1,2,3,0,1
111018401,6,2,2,2,0,1
111018402,8,2,1,3,0,1
111018405,8,2,3,2,0,1
111018501,8,2,2,2,0,1
111018502,8,2,2,2,0,1
111018503,6,2,1,4,0,0
111018504,11,2,2,3,0,1
111018505,9,2,3,3,0,1
111019101,8,1,1,1,0,1
111019102,9,1,2,2,0,1
111019103,5,1,1,1,0,1
111019104,8,1,2,2,0,1
111019105,7,1,2,1,0,1
111019106,4,1,4,3,1,1
111019201,8,1,2,2,0,1
111019202,7,1,1,1,0,1
111019203,7,1,2,3,0,1
111019204,8,1,3,3,0,1
111019301,7,1,3,2,0,1
111019302,8,1,3,4,0,0
111019304,8,1,2,3,0,1
111019305,7,1,2,2,0,1
111019401,7,1,2,2,0,1
111019402,6,1,2,2,0,1
111019404,11,1,1,1,0,1
111019405,8,1,2,2,0,1
111019501,7,1,2,1,0,1
111019502,9,1,1,1,0,1
111019504,7,1,4,3,1,1
111019505,9,1,2,2,0,1
111020101,8,2,2,2,0,1
111020103,9,2,2,3,0,1
111020104,6,2,4,4,1,0
111020105,8,2,2,2,0,1
111020201,8,2,3,3,0,1
111020204,8,2,3,3,0,1
111020205,7,2,4,3,1,1
111020302,8,2,2,1,0,1
111020303,8,2,3,3,0,1
111020304,8,2,2,2,0,1
111020305,3,2,1,1,0,1
111020402,8,2,2,2,0,1
111020403,8,2,2,3,0,1
111020405,3,2,3,3,0,1
111020501,9,2,4,4,1,0
111020502,4,2,3,2,0,1
111020504,11,2,3,3,0,1
111021101,6,2,1,1,0,1
111021102,7,2,2,2,0,1
111021103,8,2,2,2,0,1
111021104,8,2,2,2,0,1
111021105,8,2,2,3,0,1
111021201,8,2,2,2,0,1
111021202,5,2,2,2,0,1
111021204,8,2,2,2,0,1
111021205,5,2,4,4,1,0
111021301,5,2,4,4,1,0
111021302,6,2,3,2,0,1
111021304,10,2,2,2,0,1
111021305,4,2,3,3,0,1
111021401,9,2,1,1,0,1
111021402,6,2,3,3,0,1
111021403,5,2,2,3,0,1
111021404,7,2,2,2,0,1
111021405,7,2,2,2,0,1
111021501,8,2,3,2,0,1
111021502,8,2,4,2,1,1
111021503,7,2,4,3,1,1
111021504,9,2,2,3,0,1
111021505,10,2,3,4,0,0
111022101,8,1,2,2,0,1
111022102,11,1,3,2,0,1
111022103,10,1,1,1,0,1
111022104,11,1,2,2,0,1
111022105,6,1,2,2,0,1
111022202,11,1,3,3,0,1
111022203,11,1,4,4,1,0
111022205,9,1,3,2,0,1
111022301,8,1,1,4,0,0
111022302,8,1,3,3,0,1
111022303,6,1,3,3,0,1
111022304,9,1,1,2,0,1
111022401,7,1,1,3,0,1
111022402,8,1,3,3,0,1
111022501,9,1,2,1,0,1
111022502,7,1,3,3,0,1
111022503,7,1,4,3,1,1
111022506,9,1,2,2,0,1
111022507,7,1,2,1,0,1
111022508,8,1,2,3,0,1
111022509,6,1,2,1,0,1
111023101,11,2,1,2,0,1
111023102,9,2,1,2,0,1
111023105,5,2,4,4,1,0
111023201,5,2,3,3,0,1
111023202,5,2,4,4,1,0
111023203,6,1,4,3,1,1
111023204,6,1,3,2,0,1
111023301,7,1,2,2,0,1
111023302,5,2,2,2,0,1
111023303,10,2,3,2,0,1
111023305,8,2,2,2,0,1
111023401,9,2,2,1,0,1
111023402,8,1,3,3,0,1
111023403,10,2,4,3,1,1
111023404,6,1,2,2,0,1
111023405,9,1,2,2,0,1
111023501,6,1,2,2,0,1
111023502,9,2,3,2,0,1
111023503,9,1,1,1,0,1
111023504,5,2,4,4,1,0
111023505,9,2,3,2,0,1
111024101,10,2,2,2,0,1
111024102,8,2,2,3,0,1
111024103,7,2,2,2,0,1
111024105,8,2,2,2,0,1
111024201,9,2,2,2,0,1
111024202,6,2,4,4,1,0
111024203,10,2,2,2,0,1
111024204,7,2,3,3,0,1
111024205,9,2,2,2,0,1
111024301,8,2,3,3,0,1
111024302,8,2,3,3,0,1
111024304,6,2,4,4,1,0
111024305,5,2,2,2,0,1
111024401,9,2,3,4,0,0
111024402,8,2,4,4,1,0
111024403,6,2,2,3,0,1
111024405,8,2,2,2,0,1
111024501,8,2,1,3,0,1
111024502,5,2,3,3,0,1
111024503,9,2,2,2,0,1
111024505,7,2,3,3,0,1
111025102,9,1,2,2,0,1
111025103,8,1,3,3,0,1
111025104,9,2,1,2,0,1
111025105,9,1,2,2,0,1
111025201,7,2,2,1,0,1
111025202,6,2,3,3,0,1
111025203,9,2,2,1,0,1
111025204,9,2,3,3,0,1
111025205,7,1,1,1,0,1
111025302,6,1,3,3,0,1
111025303,8,1,2,2,0,1
111025304,5,1,3,4,0,0
111025401,9,2,4,4,1,0
111025402,10,1,2,3,0,1
111025403,9,2,2,2,0,1
111025404,10,2,2,2,0,1
111025501,9,1,1,2,0,1
111025502,4,2,3,3,0,1
111025503,6,1,2,2,0,1
111025505,10,1,2,2,0,1
111026101,9,2,3,2,0,1
111026102,8,2,3,4,0,0
111026103,8,2,3,2,0,1
111026105,9,1,3,3,0,1
111026201,6,1,3,3,0,1
111026202,10,1,1,1,0,1
111026203,9,2,3,3,0,1
111026205,10,1,1,1,0,1
111026301,8,2,1,1,0,1
111026302,8,2,3,2,0,1
111026303,10,1,4,2,1,1
111026304,11,1,3,2,0,1
